game_id,away_goals,home_goals,outcome
2016020045,4,7,home win REG
2017020812,4,3,away win OT
2015020314,4,1,away win REG
2015020849,1,2,home win REG
2017020586,1,2,home win REG
2016020610,4,1,away win REG
2015020606,1,2,home win REG
2017020240,1,4,home win REG
2017020624,0,2,home win REG
2015020346,3,2,away win OT
2017020221,4,1,away win REG
2016020298,2,4,home win REG
2017020731,2,3,home win OT
2016020205,3,2,away win REG
2016020246,2,5,home win REG
2016020107,3,2,away win OT
2016021020,3,4,home win OT
2017020986,5,4,away win OT
2017021124,7,3,away win REG
2015020981,6,1,away win REG
2017020146,4,6,home win REG
2016020716,2,4,home win REG
2017020001,7,2,away win REG
2016020933,1,3,home win REG
2015021066,0,4,home win REG
2015020086,4,5,home win OT
2017020482,1,2,home win OT
2016021163,2,4,home win REG
2015020687,4,6,home win REG
2017020706,3,2,away win REG
2015020619,0,7,home win REG
2017021076,0,1,home win REG
2015020562,4,1,away win REG
2016020264,1,2,home win REG
2017021046,1,2,home win REG
2015020201,1,4,home win REG
2015020079,1,2,home win REG
2017020214,4,6,home win REG
2016020683,1,2,home win REG
2017020285,2,6,home win REG
2017020423,0,3,home win REG
2015020516,5,3,away win REG
2017020930,3,4,home win OT
2017020301,1,3,home win REG
2015021029,2,5,home win REG
2016020884,3,1,away win REG
2017021066,2,5,home win REG
2016020906,2,5,home win REG
2017021087,0,3,home win REG
2016020885,4,5,home win OT
2016020560,1,2,home win REG
2016020986,2,4,home win REG
2015020906,2,3,home win REG
2017020625,3,4,home win REG
2015020646,1,3,home win REG
2016020119,0,4,home win REG
2016020070,3,6,home win REG
2016020348,3,0,away win REG
2016021004,3,2,away win OT
2015020540,6,3,away win REG
2016020674,5,6,home win OT
2017020138,1,2,home win REG
2016020602,3,6,home win REG
2017020020,3,6,home win REG
2015020227,4,2,away win REG
2015020453,2,0,away win REG
2017021170,4,2,away win REG
2017021025,0,2,home win REG
2016020531,1,2,home win REG
2017020540,2,4,home win REG
2016020438,1,5,home win REG
2016020435,3,2,away win OT
2015021111,6,3,away win REG
2016020099,5,4,away win REG
2016020283,4,2,away win REG
2017020699,1,2,home win OT
2015020239,3,6,home win REG
2017020506,2,0,away win REG
2017021194,3,5,home win REG
2017020342,2,5,home win REG
2017021257,0,5,home win REG
