game_id,venue,venue_time_zone_tz
2016020045,United Center,CDT
2017020812,KeyBank Center,EDT
2015020314,MTS Centre,CDT
2015020849,PNC Arena,EDT
2017020586,Honda Center,PDT
2016020610,Centre Bell,EDT
2015020606,STAPLES Center,PDT
2017020240,Honda Center,PDT
2017020624,Pepsi Center,MDT
2015020346,CONSOL Energy Center,EDT
2017020221,American Airlines Center,CDT
2016020298,STAPLES Center,PDT
2017020731,Gila River Arena,MST
2016020205,Gila River Arena,MST
2016020246,Wells Fargo Center,EDT
2016020107,Prudential Center,EDT
2016021020,Scotiabank Saddledome,MDT
2017020986,American Airlines Center,CDT
2017021124,PNC Arena,EDT
2015020981,Prudential Center,EDT
2017020146,Xcel Energy Center,CDT
2016020716,Barclays Center,EDT
2017020001,Bell MTS Place,CDT
2016020933,SAP Center at San Jose,PDT
2015021066,Honda Center,PDT
2015020086,Bridgestone Arena,CDT
2017020482,Centre Bell,EDT
2016021163,MTS Centre,CDT
2015020687,Amalie Arena,EDT
2017020706,Capital One Arena,EDT
2015020619,SAP Center at San Jose,PDT
2017021076,Scotiabank Saddledome,MDT
2015020562,Scotiabank Saddledome,MDT
2016020264,Centre Bell,EDT
2017021046,American Airlines Center,CDT
2015020201,STAPLES Center,PDT
2015020079,STAPLES Center,PDT
2017020214,Barclays Center,EDT
2016020683,Honda Center,PDT
2017020285,Pepsi Center,MDT
2017020423,Rogers Arena,PDT
2015020516,STAPLES Center,PDT
2017020930,Air Canada Centre,EDT
2017020301,Capital One Arena,EDT
2015021029,SAP Center at San Jose,PDT
2016020884,PNC Arena,EDT
2017021066,Nationwide Arena,EDT
2016020906,Bridgestone Arena,CDT
2017021087,BB&T Center,EDT
2016020885,Air Canada Centre,EDT
2016020560,Verizon Center,EDT
2016020986,Air Canada Centre,EDT
2015020906,Wells Fargo Center,EDT
2017020625,Scotiabank Saddledome,MDT
2015020646,Barclays Center,EDT
2016020119,Xcel Energy Center,CDT
2016020070,Wells Fargo Center,EDT
2016020348,Verizon Center,EDT
2016021004,PNC Arena,EDT
2015020540,SAP Center at San Jose,PDT
2016020674,Joe Louis Arena,EDT
2017020138,TD Garden,EDT
2016020602,SAP Center at San Jose,PDT
2017020020,Barclays Center,EDT
2015020227,SAP Center at San Jose,PDT
2015020453,First Niagara Center,EDT
2017021170,Madison Square Garden,EDT
2017021025,Bridgestone Arena,CDT
2016020531,Rogers Arena,PDT
2017020540,BB&T Center,EDT
2016020438,Xcel Energy Center,CDT
2016020435,Air Canada Centre,EDT
2015021111,SAP Center at San Jose,PDT
2016020099,Wells Fargo Center,EDT
2016020283,TD Garden,EDT
2017020699,Nationwide Arena,EDT
2015020239,American Airlines Center,CDT
2017020506,Scotiabank Saddledome,MDT
2017021194,Bridgestone Arena,CDT
2017020342,Nationwide Arena,EDT
2017021257,Wells Fargo Center,EDT
2015020007,Amalie Arena,EDT
2015020693,TD Garden,EDT
2016020368,Gila River Arena,MST
2017021255,United Center,CDT
