player_id,firstName,lastName,nationality,birthCity,primaryPosition,birthDate,height,weight
8466148,Marian,Hossa,SVK,Stará Lubovna,RW,1/12/1979 0:00,"6' 1""",207
8465058,Michal,Rozsival,CZE,Vlasim,D,9/3/1978 1:00,"6' 1""",210
8476906,Shayne,Gostisbehere,USA,Pembroke Pines,D,4/20/1993 1:00,"5' 11""",180
8466285,Brian,Campbell,CAN,Strathroy,D,5/23/1979 1:00,"5' 10""",192
8470607,Brent,Seabrook,CAN,Richmond,D,4/20/1985 1:00,"6' 3""",220
8474668,Dale,Weise,CAN,Winnipeg,RW,8/5/1988 1:00,"6' 2""",206
8473512,Claude,Giroux,CAN,Hearst,C,1/12/1988 0:00,"5' 11""",185
8470645,Corey,Crawford,CAN,Montreal,G,12/31/1984 0:00,"6' 2""",216
8476994,Vinnie,Hinostroza,USA,Chicago,LW,4/3/1994 1:00,"5' 9""",173
8475323,Marcus,Kruger,SWE,Stockholm,C,5/27/1990 1:00,"6' 0""",186
8473584,Andrew,MacDonald,CAN,Judique,D,9/7/1986 1:00,"6' 1""",204
8478055,Gustav,Forsling,SWE,Linkoping,D,6/12/1996 1:00,"6' 0""",186
8478550,Artemi,Panarin,RUS,Korkino,LW,10/30/1991 0:00,"5' 11""",168
8476177,Matt,Read,CAN,Ilderton,RW,6/14/1986 1:00,"5' 10""",185
8473461,Steve,Mason,CAN,Oakville,G,5/29/1988 1:00,"6' 4""",210
8475462,Radko,Gudas,CZE,Prague,D,6/5/1990 1:00,"6' 0""",204
8476393,Nick,Cousins,CAN,Belleville,C,7/20/1993 1:00,"5' 11""",185
8479482,Michal,Kempny,CZE,Hodonin,D,9/8/1990 1:00,"6' 0""",194
8469547,Jordin,Tootoo,CAN,Churchill,RW,2/2/1983 0:00,"5' 9""",195
8474190,Wayne,Simmonds,CAN,Scarborough,RW,8/26/1988 1:00,"6' 2""",185
8468513,Nick,Schultz,CAN,Strasbourg,D,8/25/1982 1:00,"6' 1""",203
8473607,Michal,Neuvirth,CZE,Ústí nad Labem,G,3/23/1988 0:00,"6' 1""",209
8471769,Niklas,Hjalmarsson,SWE,Eksjo,D,6/6/1987 1:00,"6' 3""",197
8477929,Dennis,Rasmussen,SWE,Vasteras,C,7/3/1990 1:00,"6' 3""",192
8471762,Chris,VandeVelde,USA,Moorhead,C,3/15/1987 0:00,"6' 2""",190
8475209,Richard,Panik,SVK,Martin,RW,2/7/1991 0:00,"6' 1""",208
8473604,Jonathan,Toews,CAN,Winnipeg,C,4/29/1988 1:00,"6' 2""",201
8478439,Travis,Konecny,CAN,London,C,3/11/1997 0:00,"5' 10""",175
8479648,Roman,Lyubimov,RUS,Tver,LW,1/6/1992 0:00,"6' 2""",207
8470159,Boyd,Gordon,CAN,Unity,C,10/19/1983 1:00,"6' 0""",200
8477845,Trevor,van Riemsdyk,USA,Middletown,D,7/24/1991 1:00,"6' 2""",188
8478500,Ivan,Provorov,RUS,Yaroslavl,D,1/13/1997 0:00,"6' 1""",201
8475430,Brandon,Manning,CAN,Prince George,D,6/4/1990 1:00,"6' 1""",205
8470281,Duncan,Keith,CAN,Winnipeg,D,7/16/1983 1:00,"6' 1""",192
8474141,Patrick,Kane,USA,Buffalo,RW,11/19/1988 0:00,"5' 11""",177
8477930,Pierre-Edouard,Bellemare,FRA,Le Blanc-Mesnil,LW,3/6/1985 0:00,"6' 0""",198
8474161,Jakub,Voracek,CZE,Kladno,RW,8/15/1989 1:00,"6' 2""",214
8477951,Nick,Schmaltz,USA,Madison,C,2/23/1996 0:00,"6' 0""",177
8477451,Ryan,Hartman,USA,Hilton Head Isl.,RW,9/20/1994 1:00,"6' 0""",181
8476461,Sean,Couturier,CAN,Phoenix,C,12/7/1992 0:00,"6' 3""",211
8473573,Artem,Anisimov,RUS,Yaroslavl,C,5/24/1988 1:00,"6' 4""",198
8477353,Tyler,Motte,USA,St. Clair,C,3/10/1995 0:00,"5' 10""",191
8475170,Brayden,Schenn,CAN,Saskatoon,C,8/22/1991 1:00,"6' 1""",200
8468309,Mark,Streit,CHE,Bern,D,12/11/1977 0:00,"5' 11""",186
8477290,Michael,Raffl,AUT,Villach,LW,12/1/1988 0:00,"6' 0""",200
8476806,J.T.,Brown,USA,Burnsville,RW,7/2/1990 1:00,"5' 10""",169
8471678,Benoit,Pouliot,CAN,Alfred,LW,9/29/1986 1:00,"6' 3""",200
8475215,Robin,Lehner,SWE,Gothenburg,G,7/24/1991 1:00,"6' 4""",245
8476866,Nicolas,Kerdiles,USA,Lewisville,LW,1/11/1994 0:00,"6' 2""",200
8471699,Andrew,Cogliano,CAN,Toronto,LW,6/14/1987 1:00,"5' 10""",177
8470621,Corey,Perry,CAN,Peterborough,RW,5/16/1985 1:00,"6' 3""",213
8477933,Sam,Reinhart,CAN,West Vancouver,C,11/6/1995 0:00,"6' 1""",192
8470324,Josh,Gorges,CAN,Kelowna,D,8/14/1984 1:00,"6' 1""",204
8477941,Nick,Ritchie,CAN,Orangeville,LW,12/5/1995 0:00,"6' 2""",234
8476312,Josh,Manson,CAN,Hinsdale,D,10/7/1991 1:00,"6' 3""",213
8475169,Evander,Kane,CAN,Vancouver,LW,8/2/1991 1:00,"6' 2""",212
8479268,Casey,Nelson,USA,Wisconsin Rapids,D,7/18/1992 1:00,"6' 1""",185
8475185,Jacob,Josefson,SWE,Stockholm,C,3/2/1991 0:00,"6' 0""",196
8475780,Chris,Wagner,USA,Walpole,RW,5/27/1991 1:00,"6' 0""",198
8475164,Jakob,Silfverberg,SWE,Gävle,RW,10/13/1990 1:00,"6' 2""",202
8473560,Korbinian,Holzer,DEU,Munich,D,2/16/1988 0:00,"6' 3""",214
8478131,Ondrej,Kase,CZE,Kadan,RW,11/8/1995 0:00,"6' 0""",185
8476293,Scott,Wilson,CAN,Oakville,C,4/24/1992 1:00,"5' 11""",183
8476470,Nathan,Beaulieu,CAN,Strathroy,D,12/5/1992 0:00,"6' 2""",200
8470616,Ryan,Kesler,USA,Livonia,C,8/31/1984 1:00,"6' 2""",202
8468535,Antoine,Vermette,CAN,St. Agapit,C,7/20/1982 1:00,"6' 1""",197
8469506,Jason,Pominville,USA,Repentigny,RW,11/30/1982 0:00,"6' 0""",180
8467400,Francois,Beauchemin,CAN,Sorel,D,6/4/1980 1:00,"5' 11""",208
8475728,Johan,Larsson,SWE,Lau,C,7/25/1992 1:00,"5' 11""",198
8474618,Marco,Scandella,CAN,Montreal,D,2/23/1990 0:00,"6' 3""",208
8468011,Ryan,Miller,USA,East Lansing,G,7/17/1980 1:00,"6' 3""",173
8475764,Cam,Fowler,USA,Windsor,D,12/5/1991 0:00,"6' 1""",215
8470612,Ryan,Getzlaf,CAN,Regina,C,5/10/1985 1:00,"6' 4""",223
8477986,Brandon,Montour,CAN,Brantford,D,4/11/1994 1:00,"6' 0""",192
8476854,Hampus,Lindholm,SWE,Helsingborg,D,1/20/1994 0:00,"6' 3""",208
8475325,Jordan,Nolan,CAN,"Garden River, First Nations",C,6/23/1989 1:00,"6' 3""",219
8476931,Jake,McCabe,USA,Eau Claire,D,10/12/1993 1:00,"6' 1""",210
8473449,Kyle,Okposo,USA,St. Paul,RW,4/16/1988 1:00,"6' 0""",220
8476878,Zemgus,Girgensons,LVA,Riga,C,1/5/1994 0:00,"6' 2""",207
8477499,Rasmus,Ristolainen,FIN,Turku,D,10/27/1994 0:00,"6' 4""",218
8479755,Victor,Antipin,RUS,Ust-Kamenogorsk,D,12/6/1992 0:00,"5' 11""",175
8474683,Derek,Grant,CAN,Abbotsford,C,4/20/1990 1:00,"6' 3""",215
8478403,Jack,Eichel,USA,North Chelmsford,C,10/28/1996 0:00,"6' 2""",206
8474641,Adam,Henrique,CAN,Brantford,C,2/6/1990 0:00,"6' 0""",195
8475158,Ryan,O'Reilly,CAN,Clinton,C,2/7/1991 0:00,"6' 1""",216
8473992,Justin,Falk,CAN,Snowflake,D,10/11/1988 1:00,"6' 5""",223
8476483,Rickard,Rakell,SWE,Sundbyberg,C,5/5/1993 1:00,"6' 2""",198
8478542,Evan,Rodrigues,CAN,Toronto,LW,7/28/1993 1:00,"5' 11""",182
8469598,Kevin,Bieksa,CAN,Grimsby,D,6/16/1981 1:00,"6' 1""",197
8473618,Mathieu,Perreault,CAN,Drummondville,C,1/5/1988 0:00,"5' 10""",188
8471218,Blake,Wheeler,USA,Plymouth,RW,8/31/1986 1:00,"6' 5""",225
8470828,Toby,Enstrom,SWE,Nordingra,D,11/5/1984 0:00,"5' 10""",180
8462042,Jarome,Iginla,CAN,Edmonton,RW,7/1/1977 1:00,"6' 1""",210
8473412,Bryan,Little,CAN,Edmonton,C,11/12/1987 0:00,"6' 0""",191
8475759,Brandon,Gormley,CAN,Murray River,D,2/18/1992 0:00,"6' 2""",196
8473575,Semyon,Varlamov,RUS,Samara,G,4/27/1988 1:00,"6' 2""",209
8471657,Cody,McLeod,CAN,Binscarth,LW,6/26/1984 1:00,"6' 2""",210
8471217,Andrew,Ladd,CAN,Maple Ridge,LW,12/12/1985 0:00,"6' 3""",200
8476469,Joel,Armia,FIN,Pori,RW,5/31/1993 1:00,"6' 3""",205
8474207,Nick,Holden,CAN,St. Albert,D,5/15/1987 1:00,"6' 4""",214
8474743,Zach,Redmond,USA,Traverse City,D,7/26/1988 1:00,"6' 2""",212
8476888,Mikhail,Grigorenko,RUS,Khabarovsk,C,5/16/1994 1:00,"6' 3""",209
8471260,Blake,Comeau,CAN,Meadow Lake,LW,2/18/1986 0:00,"6' 1""",202
8475168,Matt,Duchene,CAN,Haliburton,C,1/16/1991 0:00,"5' 11""",195
8476455,Gabriel,Landeskog,SWE,Stockholm,LW,11/23/1992 0:00,"6' 1""",215
8474574,Tyler,Myers,CAN,Houston,D,2/1/1990 0:00,"6' 8""",229
8474074,Paul,Postma,CAN,Red Deer,D,2/22/1989 0:00,"6' 3""",195
8477940,Nikolaj,Ehlers,DNK,Aalborg,LW,2/14/1996 0:00,"6' 0""",172
8471681,Jack,Skille,USA,Madison,RW,5/19/1987 1:00,"6' 1""",216
8471385,Adam,Pardy,CAN,Bonavista,D,3/29/1984 1:00,"6' 4""",227
8471262,Carl,Soderberg,SWE,Malmö,C,10/12/1985 1:00,"6' 3""",210
8476392,Adam,Lowry,USA,St. Louis,C,3/29/1993 1:00,"6' 5""",210
8469501,Chris,Thorburn,CAN,Sault Ste. Marie,RW,6/3/1983 1:00,"6' 3""",235
8470317,Nate,Guenin,USA,Aliquippa,D,12/10/1982 0:00,"6' 3""",207
8470614,Mark,Stuart,USA,Rochester,D,4/27/1984 1:00,"6' 2""",215
8470834,Dustin,Byfuglien,USA,Roseau,D,3/27/1985 0:00,"6' 5""",260
8473446,Erik,Johnson,USA,Bloomington,D,3/21/1988 0:00,"6' 4""",225
8470750,John,Mitchell,CAN,Oakville,C,1/22/1985 0:00,"6' 1""",204
8477902,Dennis,Everberg,SWE,Vasteras,RW,12/31/1991 0:00,"6' 4""",205
8477429,Andrew,Copp,USA,Ann Arbor,C,7/8/1994 1:00,"6' 1""",206
8474636,Michael,Hutchinson,CAN,Barrie,G,3/2/1990 0:00,"6' 3""",202
8475788,Alexander,Burmistrov,RUS,Kazan,C,10/21/1991 1:00,"6' 1""",180
8471226,Drew,Stafford,USA,Milwaukee,RW,10/30/1985 0:00,"6' 2""",214
8476885,Jacob,Trouba,USA,Rochester,D,2/26/1994 0:00,"6' 3""",202
8475279,Ben,Chiarot,CAN,Hamilton,D,5/9/1991 1:00,"6' 3""",219
8476460,Mark,Scheifele,CAN,Kitchener,C,3/15/1993 0:00,"6' 3""",207
8478561,Andreas,Martinsen,NOR,Bærum,LW,6/13/1990 1:00,"6' 3""",229
8475197,Tyson,Barrie,CAN,Victoria,D,7/26/1991 1:00,"5' 10""",190
8477492,Nathan,MacKinnon,CAN,Halifax,C,9/1/1995 1:00,"6' 0""",205
8474061,Anthony,Peluso,CAN,North York,RW,4/18/1989 1:00,"6' 3""",225
8471715,Ondrej,Pavelec,CZE,Kladno,G,8/31/1987 1:00,"6' 3""",212
8473533,Jordan,Staal,CAN,Thunder Bay,C,9/10/1988 1:00,"6' 4""",220
8470320,Cam,Ward,CAN,Saskatoon,G,2/29/1984 0:00,"6' 1""",185
8475753,Justin,Faulk,USA,South St.Paul,D,3/20/1992 0:00,"6' 0""",215
8477488,Brett,Pesce,USA,Tarrytown,D,11/15/1994 0:00,"6' 3""",200
8474052,Chris,Terry,CAN,Brampton,LW,4/7/1989 1:00,"5' 10""",191
8475784,Jeff,Skinner,CAN,Toronto,LW,5/16/1992 1:00,"5' 11""",200
8475663,Eddie,Lack,SWE,Norrtälje,G,1/5/1988 0:00,"6' 4""",187
8478396,Noah,Hanifin,USA,Boston,D,1/25/1997 0:00,"6' 3""",206
