team_id,franchiseId,shortName,teamName,abbreviation
1,23,New Jersey,Devils,NJD
4,16,Philadelphia,Flyers,PHI
26,14,Los Angeles,Kings,LAK
14,31,Tampa Bay,Lightning,TBL
6,6,Boston,Bruins,BOS
3,10,NY Rangers,Rangers,NYR
5,17,Pittsburgh,Penguins,PIT
17,12,Detroit,Red Wings,DET
28,29,San Jose,Sharks,SJS
18,34,Nashville,Predators,NSH
23,20,Vancouver,Canucks,VAN
16,11,Chicago,Blackhawks,CHI
9,30,Ottawa,Senators,OTT
8,1,Montreal,Canadiens,MTL
30,37,Minnesota,Wild,MIN
15,24,Washington,Capitals,WSH
19,18,St Louis,Blues,STL
24,32,Anaheim,Ducks,ANA
27,28,Phoenix,Coyotes,PHX
2,22,NY Islanders,Islanders,NYI
10,5,Toronto,Maple Leafs,TOR
13,33,Florida,Panthers,FLA
7,19,Buffalo,Sabres,BUF
20,21,Calgary,Flames,CGY
21,27,Colorado,Avalanche,COL
25,15,Dallas,Stars,DAL
29,36,Columbus,Blue Jackets,CBJ
52,35,Winnipeg,Jets,WPG
22,25,Edmonton,Oilers,EDM
54,38,Vegas,Golden Knights,VGK
12,26,Carolina,Hurricanes,CAR
53,28,Arizona,Coyotes,ARI
11,35,Atlanta,Thrashers,ATL
